rank	word	score	sources	googleRank	wordfreqRank	cocaRank
241	pic	0.551984	google,wordfreq	202	253	
242	rod	0.553571	google,wordfreq,coca	357	308	197
243	dig	0.554113	google,wordfreq,coca	525	266	149
244	con	0.554329	google,wordfreq	210	247	
245	tap	0.554338	google,wordfreq,coca	466	265	169
246	tim	0.554825	google,wordfreq	241	192	
247	zip	0.556403	google,wordfreq	122	416	
248	usb	0.557395	google,wordfreq	154	361	
249	mon	0.558027	google,wordfreq	116	433	
250	sam	0.558613	google,wordfreq	265	162	
251	url	0.559064	google,wordfreq	99	468	
252	fox	0.559109	google,wordfreq	260	173	
253	ann	0.559515	google,wordfreq	221	246	
254	fax	0.559921	google,wordfreq	80	506	
255	pie	0.560245	google,wordfreq,coca	437	274	181
256	gym	0.561508	google,wordfreq,coca	433	220	193
257	jun	0.563573	google,wordfreq	107	470	
258	cop	0.566062	google,wordfreq,coca	638	224	127
259	tab	0.566558	google,wordfreq,coca	285	345	223
260	der	0.566865	google,wordfreq	256	209	
261	kim	0.569661	google,wordfreq	278	179	
262	hop	0.570608	google,wordfreq	263	210	
263	ran	0.571555	google,wordfreq	314	120	
264	nfl	0.572096	google,wordfreq	272	199	
265	hiv	0.572908	google,wordfreq	236	268	
266	lol	0.575658	google,wordfreq	319	126	
267	ill	0.578770	google,wordfreq	316	143	
268	sep	0.578815	google,wordfreq	93	552	
269	gmt	0.579762	google,wordfreq	144	462	
270	pad	0.580267	google,wordfreq,coca	356	359	206
271	spa	0.583324	google,wordfreq	209	356	
272	cum	0.583415	google,wordfreq	183	404	
273	ave	0.584226	google,wordfreq	201	374	
274	int	0.588375	google,wordfreq	151	481	
275	ibm	0.588555	google,wordfreq	189	412	
276	jay	0.589277	google,wordfreq	299	213	
277	von	0.589953	google,wordfreq	290	232	
278	cow	0.590458	google,wordfreq,coca	484	305	180
279	usd	0.591080	google,wordfreq	217	370	
280	pub	0.592569	google,wordfreq	262	293	
281	ram	0.592704	google,wordfreq	259	299	
282	bye	0.592983	google,wordfreq,coca	584	186	170
283	wed	0.593335	google,wordfreq	125	547	
284	que	0.595139	google,wordfreq	283	264	
285	gps	0.595545	google,wordfreq	244	337	
286	rip	0.596050	google,wordfreq,coca	504	278	182
287	ink	0.597303	google,wordfreq	247	338	
288	abc	0.600144	google,wordfreq	298	255	
289	mrs	0.602083	google,wordfreq	375	121	
290	und	0.602715	google,wordfreq	271	314	
291	bow	0.604257	google,wordfreq,coca	439	235	217
292	pit	0.604392	google,wordfreq,coca	472	263	201
293	bat	0.605880	google,wordfreq,coca	508	241	194
294	jon	0.607495	google,wordfreq	315	251	
295	par	0.607855	google,wordfreq	307	267	
296	pal	0.607909	google,wordfreq,coca	430	331	205
297	cam	0.609839	google,wordfreq	257	366	
298	nba	0.609839	google,wordfreq	323	245	
299	ian	0.611508	google,wordfreq	334	231	
300	ken	0.611553	google,wordfreq	309	277	
301	pig	0.612734	google,wordfreq,coca	542	292	178
302	huh	0.614123	wordfreq,coca		248	110
303	ron	0.614349	google,wordfreq	325	258	
304	rom	0.614529	google,wordfreq	231	431	
305	bio	0.616558	google,wordfreq	288	334	
306	pat	0.616649	google,wordfreq	328	261	
307	cab	0.619453	google,wordfreq,coca	447	326	208
308	eve	0.620301	google,wordfreq	355	225	
309	bee	0.620400	google,wordfreq,coca	468	324	202
310	dev	0.623548	google,wordfreq	175	567	
311	cds	0.623683	google,wordfreq	196	529	
312	llc	0.624179	google,wordfreq	185	551	
313	fed	0.624856	google,wordfreq	380	196	
314	ing	0.625216	google,wordfreq	294	355	
315	res	0.630988	google,wordfreq	280	402	
316	ref	0.632116	google,wordfreq	267	430	
317	rio	0.632206	google,wordfreq	373	236	
318	den	0.633874	google,wordfreq	348	288	
319	jul	0.633965	google,wordfreq	106	732	
320	eur	0.634461	google,wordfreq	113	721	
321	ash	0.635011	google,wordfreq,coca	459	290	221
322	nut	0.635552	google,wordfreq,coca	582	369	166
323	sri	0.636084	google,wordfreq	341	309	
324	iso	0.637256	google,wordfreq	273	438	
325	opt	0.638212	google,wordfreq,coca	409	443	212
326	sci	0.638880	google,wordfreq	291	411	
327	mph	0.638925	google,wordfreq	320	358	
328	roy	0.639060	google,wordfreq	377	254	
329	php	0.639872	google,wordfreq	155	664	
330	med	0.640278	google,wordfreq	296	407	
331	rss	0.640684	google,wordfreq	83	799	
332	lbs	0.643389	google,wordfreq	317	380	
333	jam	0.648214	google,wordfreq	372	297	
334	xml	0.648395	google,wordfreq	146	712	
335	arc	0.648665	google,wordfreq	374	295	
336	lib	0.650018	google,wordfreq	254	520	
337	amy	0.652453	google,wordfreq	386	287	
338	sur	0.652949	google,wordfreq	369	320	
339	rev	0.653175	google,wordfreq	370	319	
340	fri	0.653445	google,wordfreq	124	771	
341	lap	0.654717	google,wordfreq,coca	589	284	192
342	cal	0.655790	google,wordfreq	360	347	
343	ion	0.656602	google,wordfreq	378	317	
344	acc	0.657729	google,wordfreq	245	565	
345	zoo	0.658000	google,wordfreq	389	302	
346	def	0.658045	google,wordfreq	322	425	
347	gen	0.659037	google,wordfreq	420	249	
348	pee	0.661291	google,wordfreq	364	360	
349	fig	0.662464	google,wordfreq	284	511	
350	bmw	0.662825	google,wordfreq	336	417	
351	thy	0.663276	google,wordfreq	428	250	
352	aka	0.665801	google,wordfreq	390	329	
353	faq	0.666071	google,wordfreq	90	880	
354	lcd	0.666793	google,wordfreq	200	681	
355	mit	0.667514	google,wordfreq	340	427	
356	ted	0.667695	google,wordfreq	432	259	
357	pst	0.668416	google,wordfreq	164	753	
358	ace	0.668642	google,wordfreq	399	323	
359	rap	0.668867	google,wordfreq	412	300	
360	hub	0.669544	google,wordfreq	397	330	
361	nyc	0.674233	google,wordfreq	371	395	
362	sms	0.675090	google,wordfreq	346	444	
363	ali	0.675631	google,wordfreq	460	237	
364	epa	0.675812	google,wordfreq	324	487	
365	xxx	0.677300	google,wordfreq	165	784	
366	amp	0.678337	google,wordfreq	352	445	
367	pcs	0.678472	google,wordfreq	289	561	
368	var	0.678968	google,wordfreq	212	704	
369	mod	0.680186	google,wordfreq	335	483	
370	phd	0.680817	google,wordfreq	387	390	
371	tin	0.682891	google,wordfreq	413	350	
372	chi	0.683117	google,wordfreq	402	371	
373	cbs	0.686093	google,wordfreq	438	316	
374	nhl	0.687130	google,wordfreq	421	351	
375	sql	0.688438	google,wordfreq	242	684	
376	dam	0.689926	google,wordfreq	449	310	
377	tue	0.690422	google,wordfreq	132	893	
378	edt	0.690512	google,wordfreq	292	600	
379	mud	0.691062	google,wordfreq,coca	614	312	203
380	api	0.691459	google,wordfreq	343	510	
381	owe	0.691640	wordfreq,coca		298	153
382	hmm	0.692587	wordfreq,coca		252	162
383	ton	0.694345	google,wordfreq	477	275	
384	tan	0.695698	google,wordfreq	435	357	
385	flu	0.696284	google,wordfreq	410	405	
386	leo	0.697141	google,wordfreq	493	256	
387	cpu	0.697953	google,wordfreq	313	589	
388	cod	0.698855	google,wordfreq	419	398	
389	ins	0.698900	google,wordfreq	406	422	
390	hon	0.702507	google,wordfreq	440	373	
391	vat	0.703139	google,wordfreq	276	676	
392	reg	0.703184	google,wordfreq	329	579	
393	lan	0.703274	google,wordfreq	345	550	
394	www	0.704131	google,wordfreq	182	852	
395	dos	0.704942	google,wordfreq	416	426	
396	nsw	0.705303	google,wordfreq	330	585	
397	exp	0.705664	google,wordfreq	310	623	
398	utc	0.706521	google,wordfreq	255	727	
399	das	0.708189	google,wordfreq	452	372	
400	val	0.711301	google,wordfreq	395	488	
401	thu	0.711706	google,wordfreq	134	968	
402	gel	0.712247	google,wordfreq	422	442	
403	cnn	0.712879	google,wordfreq	450	393	
404	vii	0.712924	google,wordfreq	467	362	
405	tee	0.713104	google,wordfreq	391	502	
406	cox	0.715675	google,wordfreq	442	418	
407	jar	0.716405	google,wordfreq,coca	574	413	215
408	atm	0.716802	google,wordfreq	441	424	
